Player,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Joe Ingles,SF,10.10%,-,-,6' 7.75'',6' 8.25'',8' 9'',209.2,6' 10.25''
Joel Bolomboy,PF,5.15%,9.00,10.25,6' 7.5'',6' 9'',8' 7.5'',224.4,7' 1.75''
Joey Dorsey,PF-C,9.00%,-,-,6' 6.25'',6' 7.25'',8' 11'',265.0,7' 1.75''
Joey Graham,SF,-%,-,-,6' 5.25'',6' 6.5'',8' 8'',216.6,6' 8''
John Collins,PF,5.40%,9.00,10.00,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25''
John Edwards,C,14.10%,-,-,6' 11.25'',7' 1'',9' 5'',264.0,7' 4.5''
John Gilchrist,PG,-%,-,-,6' 1.25'',6' 2.5'',8' 0.5'',195.2,6' 9.25''
John Henson,PF,8.60%,9.25,10.00,6' 9'',6' 10.5'',9' 4'',216.0,7' 5''
John Jenkins,SG,7.10%,9.00,9.00,6' 3.25'',6' 4.25'',8' 2'',212.0,6' 8.5''
John Lucas III,PG,-%,-,-,5' 9.25'',5' 10.5'',7' 8'',154.4,6' 0''
John Riek,C,11.00%,-,-,6' 10.5'',7' 0'',237.0,7' 8.75''
John Wall,PG,5.60%,8.25,9.50,6' 2.75'',6' 4'',8' 5.5'',195.6,6' 9.25''
Johnathan Motley,PF,-%,9.00,9.50,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4''
Johnny O?Bryant III,PF,10.75%,9.25,9.50,6' 7.25'',6' 8.5'',8' 9'',256.8,7' 2.25''
Jon Diebler,SG,8.50%,8.25,8.25,6' 5.25'',6' 6.5'',8' 3'',196.6,6' 6''
Jon Leuer,PF,5.40%,8.75,9.75,6' 10'',6' 11.5'',8' 9.5'',223.2,7' 0''
Jon Scheyer,PG-SG,5.40%,7.75,9.50,6' 4.75'',6' 6'',8' 3'',180.0,6' 3.25''
Jonathan Holmes,PF-SF,7.20%,8.25,9.50,6' 8.25'',6' 9.25'',8' 11.5'',242.2,6' 11.5''
Jonny Flynn,PG,6.30%,-,-,5' 11.25'',6' 0.75'',7' 11.5'',195.6,6' 4''
Jontay Porter,C-PF,13.85%,8.75,9.50,6' 10'',6' 11.5'',9' 1'',236.0,7' 0.25''
Jontay Porter,PF,8.50%,8.75,9.50,6' 9.75'',6' 11'',9' 1.5'',210.4,7' 0''
Jordan Adams,SG,10.80%,8.50,7.50,6' 3.5'',6' 4.75'',8' 6'',208.8,6' 10''
Jordan Bachynski,PF,7.45%,9.25,10.00,7' 1.25'',7' 2'',9' 0.5'',254.1,7' 4''
Jordan Bell,PF,5.40%,9.25,9.50,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75''
Jordan Bone,SG,5.00%,7.50,9.25,6' 1.5'',6' 2.75'',7' 11'',179.0,6' 3.25''
Jordan Clarkson,PG,4.30%,8.25,9.00,6' 3.25'',6' 5'',8' 2'',186.3,6' 8''
Jordan Crawford,SG,4.90%,8.00,9.00,6' 3'',6' 4.5'',8' 5'',198.4,6' 7''
Jordan Farmar,PG,4.40%,-,-,6' 0.75'',6' 2'',7' 10.5'',171.0,6' 3''
Jordan Hamilton,SF,9.80%,9.00,9.25,6' 6.75'',6' 8.5'',8' 8'',228.4,6' 9.5''
Jordan Hill,PF-C,6.00%,-,-,6' 9.25'',6' 10.25'',9' 0'',232.4,7' 1.5''
Jordan McRae,SG,5.20%,8.75,8.50,6' 3.75'',6' 5.25'',8' 8'',179.4,7' 0.5''
Jordan Mickey,PF,7.20%,8.75,9.50,6' 7'',6' 8.25'',8' 10'',238.0,7' 3.25''
Jordan Nwora,PF,7.80%,8.50,9.25,6' 5.75'',6' 7.5'',8' 7'',220.0,6' 10.5''
Jordan Poole,SG,7.50%,8.25,8.50,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75''
Jordan Taylor,PG,5.50%,8.25,9.50,6' 1'',6' 2'',7' 8.5'',192.8,6' 3''
Jordan Williams,PF,12.10%,9.25,10.00,6' 7.75'',6' 9'',8' 10.5'',247.2,7' 0.25''
Joseph Jones,PF,12.20%,-,-,6' 7'',6' 8.5'',8' 11'',240.0,7' 0.25''
Josh Childress,SG-SF,9.30%,-,-,6' 5.75'',6' 7.25'',8' 9'',196.0,6' 11''
Josh Duncan,PF,5.40%,-,-,6' 8'',6' 9'',8' 8.5'',230.0,6' 11.5''
Josh Hart,SG,5.75%,8.50,9.25,6' 4'',6' 5.5'',8' 3.5'',203.6,6' 8.5''
Josh Hart,SG-SF,5.80%,8.50,9.50,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25''
Josh Heytvelt,PF-C,10.80%,-,-,6' 10'',6' 11'',9' 0'',246.2,7' 1.25''
Josh McRoberts,PF,13.70%,-,-,6' 8'',6' 10'',8' 10.5'',240.0,7' 1''
Josh Okogie,SG,5.20%,9.00,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0''
Josh Selby,SG-PG,7.90%,8.50,9.00,6' 1.75'',6' 3'',8' 2'',194.6,6' 5.25''
Josh Smith,SG-SF,6.70%,-,-,6' 7'',6' 8.25'',8' 10.5'',221.0,7' 0''
Jrue Holiday,PG-SG,6.30%,-,-,6' 3.25'',6' 4.25'',8' 4.5'',199.0,6' 7''
Juan Mendez,PF-SF,-%,-,-,6' 5.25'',6' 6.75'',8' 10.5'',231.4,7' 0''
Julian Wright,SF-PF,6.10%,-,-,6' 6.5'',6' 8.5'',9' 0'',211.0,7' 2.25''
Julius Hodge,SG-SF,-%,-,-,6' 6'',6' 7'',8' 11.5'',202.2,7' 0.5''
Julius Randle,PF,9.40%,8.75,8.25,6' 7.75'',6' 9'',8' 9.5'',249.7,7' 0''
Justin Anderson,SF-SG,5.00%,8.50,9.50,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75''
Justin Doellman,PF,7.00%,-,-,6' 8'',6' 9.5'',8' 9'',205.0,6' 8.75''
Justin Harper,PF-SF,4.00%,9.00,9.25,6' 8'',6' 8.75'',8' 10'',228.0,6' 11.75''
Justin Jackson (UMD),SF,7.10%,9.00,9.50,6' 5.75'',6' 7'',8' 11'',219.4,7' 3.25''
Justin Jackson (UNC),SF,8.10%,8.75,9.25,6' 7'',6' 8.25'',8' 8.5'',200.8,6' 11''
Justin Jackson,PF,8.90%,9.00,9.50,6' 6'',6' 6.75'',8' 9'',229.4,7' 3''
Justin Jackson,SF,7.60%,8.75,8.75,6' 7'',6' 8.25'',8' 7.5'',193.4,6' 10.75''
Justin Patton,C,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229.0,7' 3''
Justin Williams,C-PF,6.50%,-,-,6' 7.25'',6' 8.75'',9' 1'',211.0,7' 1.5''
Justise Winslow,SF,5.30%,8.50,9.25,6' 4.5'',6' 6.5'',8' 8.5'',221.8,6' 10.25''
K.J. McDaniels,SF,4.45%,8.75,9.75,6' 4.5'',6' 6'',8' 6'',195.6,6' 11.25''
KZ Okpala,SF,4.60%,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75''
Kadeem Allen,PG,6.40%,8.50,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25''
Kawhi Leonard,SF,5.40%,9.75,11.25,6' 6'',6' 7'',8' 10'',227.4,7' 3''
Kay Felder,PG,5.80%,8.25,8.50,5' 8.25'',5' 9.5'',7' 4.5'',177.2,6' 2.5''
Keenan Evans,PG,6.50%,8.50,8.00,6' 1.5'',6' 3'',8' 2'',183.2,6' 5.25''
Keifer Sykes,PG,5.00%,8.50,9.50,5' 10.5'',5' 11.75'',7' 9'',167.2,6' 2''
Keita Bates-Diop,SG-SF,5.35%,9.00,8.50,6' 7.25'',6' 8.5'',8' 10.5'',223.8,7' 3.25''
Keith Benson,C-PF,6.10%,9.50,11.00,6' 10'',6' 11'',9' 1.5'',217.0,7' 3.75''
Keith Brumbaugh,SF-PF,4.00%,-,-,6' 7.5'',6' 8.75'',8' 8.5'',190.0,6' 7.25''
Keith Gallon,PF-C,15.10%,9.25,10.50,6' 8.5'',6' 9.5'',9' 1.5'',301.8,7' 4.5''
Keith Langford,SG-SF,-%,-,-,6' 2.25'',6' 3.5'',8' 5'',203.2,6' 9''
Keldon Johnson,SG,5.60%,8.00,9.25,6' 4.75'',6' 6'',8' 8'',216.4,6' 9.25''
Kelly Olynyk,PF-C,6.65%,8.50,10.00,6' 10.75'',7' 0'',9' 0'',234.0,6' 9.75''
Kelly Oubre,SF-SG,5.70%,9.00,8.75,6' 5.75'',6' 6.75'',8' 6.5'',202.8,7' 2.25''
Kelvin Pena,SG-PG,8.60%,-,-,6' 2.25'',6' 3.25'',8' 3.5'',182.0,6' 6.5''
Kemba Walker,PG,5.90%,8.00,9.00,5' 11.5'',6' 1'',7' 7.5'',184.0,6' 3.5''
Kendall Marshall,PG,7.80%,8.50,9.00,6' 3.25'',6' 4.25'',8' 0'',198.4,6' 5.5''
Kendall Williams,PG,7.20%,8.00,7.75,6' 2.25'',6' 3.75'',8' 3'',183.0,6' 5.5''
Kennedy Meeks,C,11.50%,8.75,8.75,6' 8.75'',6' 10.25'',8' 10'',276.6,7' 1''
Kenneth Faried,PF,6.30%,8.50,10.25,6' 6'',6' 7.5'',9' 0'',224.6,7' 0''
Kenny Adeleke,PF-C,10.50%,-,-,6' 6.5'',6' 7.75'',8' 8'',250.0,6' 10.25''
Kenny Kadji,PF-C,7.45%,9.00,10.25,6' 8.75'',6' 10'',8' 10.5'',241.6,7' 3''
Kenrich Williams,SF,5.95%,8.50,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25''
Kentavious Caldwell-Pope,SG,6.45%,8.50,9.00,6' 4.5'',6' 5.5'',8' 4.5'',203.6,6' 8''
Kentrell Gransberry,C,17.40%,-,-,6' 6.75'',6' 7.75'',8' 10'',290.0,6' 10.25''
Kevin Durant,SF-PF,6.60%,-,-,6' 9'',6' 10.25'',9' 2'',215.0,7' 4.75''
Kevin Hervey,PF,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5''
Kevin Huerter,SG,8.60%,8.25,8.50,6' 6.25'',6' 7.25'',8' 5.5'',194.0,6' 7.5''
Kevin Jones,PF,11.20%,9.00,7.75,6' 6.25'',6' 7.5'',8' 9'',251.2,7' 1.5''
Kevin Knox,SF,4.95%,8.75,9.25,6' 7.75'',6' 9'',9' 0'',212.6,6' 11.75''
Kevin Love,PF,12.90%,-,-,6' 7.75'',6' 9.5'',8' 10'',255.0,6' 11.25''
Kevin Murphy,SG,5.80%,8.50,8.50,6' 5'',6' 6.25'',8' 3'',194.0,6' 6.75''
Kevin Pittsnogle,PF,-%,-,-,6' 9.25'',6' 10.25'',8' 10'',259.2,6' 10.5''
Kevin Porter Jr.,SG,5.10%,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9''
Kevon Looney,PF,11.90%,9.50,9.25,6' 8'',6' 9.25'',9' 2'',222.4,7' 3.5''
Keydren Clark,PG,11.60%,-,-,5' 9'',5' 10.25'',7' 8.5'',184.0,6' 2.5''
Khem Birch,PF,6.00%,9.00,8.50,6' 7.5'',6' 9.25'',8' 11'',208.8,7' 1''
Khris Middleton,SF,7.80%,9.00,9.00,6' 6.75'',6' 8.25'',8' 7'',216.2,6' 10.75''
Khyri Thomas,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5''
Kim English,SG,4.30%,8.50,8.75,6' 4.5'',6' 5.75'',8' 2'',192.0,6' 6.5''
Kirk Snyder,SG-SF,9.30%,-,-,6' 6'',6' 6.75'',8' 8'',228.0,6' 9''
Klay Thompson,SG,8.00%,8.75,9.25,6' 5.75'',6' 7.25'',8' 7.5'',205.6,6' 9''
Kobi Simmons,PG,5.00%,8.50,9.50,6' 3.25'',6' 4.5'',8' 3'',166.2,6' 6''
Kostas Antetokounmpo,PF,5.00%,9.25,9.50,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
Kris Dunn,PG,-%,-,-,6' 3'',6' 4.25'',8' 4'',0.0,6' 9.5''
Kris Humphries,PF,6.70%,-,-,6' 8.25'',6' 9.5'',8' 10.5'',238.0,7' 0.5''
Kris Joseph,SG,8.60%,9.00,9.00,6' 6'',6' 7'',8' 8'',215.0,6' 11''
Kris Wilkes,SF,4.90%,8.50,9.50,6' 6.25'',6' 7.75'',8' 7'',208.8,6' 10.75''
Kris Wilkes,SF,5.15%,8.75,9.25,6' 6.5'',6' 7.5'',8' 7.5'',205.0,6' 10.25''
Ky Bowman,PG,4.90%,8.25,9.00,6' 1'',6' 2.25'',8' 2'',181.2,6' 7''
Kyle Anderson,SF,13.35%,8.25,8.75,6' 7.5'',6' 8.5'',8' 11.5'',230.1,7' 2.75''
Kyle Guy,SG,5.70%,8.00,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5''
Kyle Hines,SF-PF,3.60%,-,-,6' 3.75'',6' 5.25'',8' 8.5'',234.0,7' 1.25''
Kyle Kuzma,SF-SG,9.40%,8.50,9.50,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25''
Kyle O'Quinn,PF,8.00%,9.50,10.00,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75''
Kyle Singler,SF,10.00%,8.25,8.75,6' 7.5'',6' 8.5'',8' 10'',228.0,6' 10.1''
Kyle Visser,C,10.20%,-,-,6' 10'',6' 11.5'',9' 0'',242.0,6' 11''
Kyle Wiltjer,PF,15.25%,8.25,9.50,6' 8.75'',6' 10'',8' 6.5'',242.8,7' 0.25''
Kyrie Irving,PG,10.20%,8.25,9.25,6' 1.75'',6' 3.5'',8' 3'',191.0,6' 4''
LaMarcus Aldridge,PF-C,8.70%,-,-,6' 10'',6' 11.25'',9' 2'',234.0,7' 4.75''
LaQuinton Ross,SF,16.30%,8.75,9.75,6' 6.5'',6' 7.5'',8' 10'',238.7,7' 1.75''
LaceDarius Dunn,SG,5.50%,9.00,10.25,6' 3'',6' 4'',8' 5'',187.8,6' 6.25''
Lamar Patterson,SG,10.75%,9.00,9.25,6' 4'',6' 5.25'',8' 5'',226.0,6' 11''
Lance Stephenson,SG,9.30%,9.00,10.25,6' 4.5'',6' 5.75'',8' 7'',227.0,6' 10.5''
Landry Shamet,PG,4.85%,8.00,9.00,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75''
Larry Nance,PF,6.40%,9.00,9.75,6' 7.5'',6' 8.5'',9' 0'',226.6,7' 1.5''
Larry O'Bannon,SG,-%,-,-,6' 3'',6' 4.25'',8' 3.5'',196.0,6' 6''
Larry Sanders,PF-C,4.60%,9.75,11.00,6' 9.25'',6' 10.5'',9' 4'',222.4,7' 5.75''
Lawrence Roberts,PF,9.30%,-,-,6' 7.5'',6' 9'',8' 10.5'',233.0,6' 9.5''
Lazar Hayward,SG-SF,7.50%,9.25,9.50,6' 4.5'',6' 5.75'',8' 6'',225.8,7' 0.75''
Lester Hudson,PG,3.40%,-,-,5' 11.75'',6' 1'',8' 2.5'',196.0,6' 8.75''
Longar Longar,C,10.60%,-,-,6' 9'',6' 10'',9' 1.5'',212.5,7' 1.25''
Lonnie Walker,SG,5.65%,9.00,9.50,6' 3.75'',6' 4.5'',8' 3.5'',196.2,6' 10.25''
Lorenzo Brown,PG,3.95%,8.25,8.50,6' 4'',6' 5.25'',8' 4'',189.2,6' 7''
Lou Amundson,PF,6.80%,-,-,6' 7.2'',6' 8'',8' 7.5'',221.0,6' 11.5''
Louis King,SF,4.80%,8.00,8.50,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25''
Luc Mbah a Moute,SF,7.00%,-,-,6' 5.75'',6' 7.5'',8' 7.5'',221.0,7' 2.5''
Luguentz Dort,PG,5.00%,8.50,9.00,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5''
Luis Flores,PG-SG,6.00%,-,-,6' 0.5'',6' 1.75'',8' 2.5'',202.0,6' 7.5''
Luka Samanic,PF,5.60%,8.50,9.00,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5''
Luke Babbitt,SF-PF,5.60%,8.50,10.00,6' 7.5'',6' 8.75'',8' 8.5'',217.8,6' 11.25''
Luke Harangody,PF,11.10%,8.75,9.75,6' 6'',6' 7.75'',8' 10'',240.2,6' 9.5''
Luke Jackson,SF-SG,8.00%,-,-,6' 6'',6' 7'',8' 7'',212.0,6' 8.5''
Luke Kennard,SG-SF,6.60%,8.00,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25''
Luke Schenscher,C,-%,-,-,6' 11.75'',7' 1.5'',9' 3.5'',241.6,7' 5''
Luol Deng,SF,6.70%,-,-,6' 7'',6' 8'',9' 0.5'',220.0,7' 0.5''
Luther Head,PG-SG,-%,-,-,6' 2'',6' 3'',8' 2.5'',178.8,6' 5.25''
Maarty Leunen,SF,8.90%,-,-,6' 7.25'',6' 8.5'',8' 6.5'',222.0,6' 8''
Major Wingate,C,6.70%,-,-,6' 8.5'',6' 10.75'',9' 1'',242.0,7' 4''
Malachi Richardson,SG-SF,7.00%,8.75,10.00,6' 4.75'',6' 6.25'',8' 5.5'',199.6,7' 0''
Malcolm Brogdon,SG,5.40%,9.00,10.25,6' 3.75'',6' 5.5'',8' 2'',223.0,6' 10.5''
Malcolm Lee,SG,5.90%,8.50,9.50,6' 4'',6' 5.5'',8' 5.5'',198.2,6' 9.75''
Malcolm Thomas,PF,5.90%,9.50,10.50,6' 7.5'',6' 8.75'',8' 11.5'',223.0,7' 0.5''
Malik Beasley,SG,6.90%,8.50,9.00,6' 3.5'',6' 4.5'',8' 4.5'',189.8,6' 7''
Malik Hairston,SG,6.90%,-,-,6' 4.25'',6' 5.25'',8' 7.5'',204.0,6' 9''
Malik Newman,SG,5.60%,8.25,9.25,6' 2.25'',6' 3.5'',8' 1.5'',182.2,6' 5.75''
Malik Newman,SG,6.25%,8.50,9.50,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5''
Manny Harris,SG,3.80%,8.50,9.00,6' 4'',6' 5.5'',8' 6'',185.1,6' 7.25''
Marcelus Kemp,SG,9.00%,-,-,6' 3'',6' 4.25'',8' 7.5'',221.0,6' 8.5''
Marcin Gortat,PF-C,-%,-,-,6' 11'',7' 0'',9' 2'',225.2,7' 3.5''
Marco Killingsworth,PF,19.00%,-,-,6' 5.5'',6' 6.75'',8' 8'',266.0,7' 3''
Marcus Campbell,C,-%,-,-,6' 10.25'',7' 0.25'',9' 6'',280.4,7' 6''
Marcus Denmon,SG,6.60%,8.25,9.75,6' 2.25'',6' 3.25'',7' 10.5'',188.2,6' 5''
Marcus Douthit,C-PF,13.70%,-,-,6' 9.5'',6' 11'',9' 3.5'',223.0,7' 4''
Marcus Dove,SF-PF,5.30%,-,-,6' 6.75'',6' 7.5'',8' 9'',208.0,6' 11.5''
Marcus Lee,PF-C,5.35%,9.00,9.00,6' 9'',6' 10.25'',8' 11.5'',211.0,7' 3''
Marcus Melvin,SF-PF,10.50%,-,-,6' 6.75'',6' 8.5'',8' 9.5'',241.0,7' 0''
Marcus Moore,PG-SG,14.80%,-,-,6' 4'',6' 5.25'',8' 5.5'',202.0,6' 9''
Marcus Morris,PF-SF,8.00%,8.25,8.50,6' 7'',6' 8.75'',8' 9.5'',229.6,6' 10''
Marcus Paige,PG,4.30%,7.75,8.75,6' 0.5'',6' 1.75'',8' 1'',163.8,6' 6.25''
Marcus Slaughter,PF-SF,8.50%,-,-,6' 7'',6' 8'',8' 8.5'',220.0,6' 11.5''
Marcus Smart,PG,10.55%,9.00,8.75,6' 2'',6' 3.25'',8' 3'',227.2,6' 9.25''
Marcus Thornton,PG-SG,5.30%,8.25,8.50,6' 1.75'',6' 2.75'',8' 1.5'',177.4,6' 7.75''
Marcus Thornton,SG,4.80%,-,-,6' 2.75'',6' 3.75'',8' 3'',194.4,6' 5''
Marcus Williams,PG,12.40%,-,-,6' 2'',6' 3.25'',8' 1.5'',215.0,6' 7''
Mardy Collins,PG-SG,10.00%,-,-,6' 4.25'',6' 5.5'',8' 7'',224.0,6' 10''
Marial Shayok,SF-PF,4.70%,8.75,9.25,6' 4.5'',6' 5.5'',8' 7.5'',196.8,7' 0.25''
Mario Boggan,PF,9.20%,-,-,6' 5'',6' 7'',8' 11'',240.0,7' 2''
Mark Tyndale,SG-SF,6.70%,-,-,6' 2.75'',6' 3.5'',8' 7.5'',217.0,6' 11''
Markel Brown,SG,4.20%,8.25,9.75,6' 2.5'',6' 3.5'',8' 4'',184.4,6' 8.75''
Markieff Morris,PF,10.20%,8.50,8.25,6' 7.75'',6' 9.25'',8' 10.5'',240.8,6' 10.75''
Marko Lekic,C,11.40%,-,-,6' 9'',6' 10.5'',9' 0.5'',267.0,7' 1''
Marko Tomas,SG-PG,9.30%,-,-,6' 6.5'',6' 7.75'',8' 7.5'',198.0,6' 7''
Marquese Chriss,PF,8.50%,9.00,9.00,6' 8.75'',6' 10'',8' 9'',233.0,7' 0.25''
Marquis Teague,PG,6.30%,8.25,7.75,6' 1'',6' 2'',8' 0.5'',179.8,6' 7.25''
Marshon Brooks,SG,5.20%,9.00,10.50,6' 4.25'',6' 5.25'',8' 5'',194.6,7' 1''
Martell Webster,SF,-%,-,-,6' 6'',6' 7.5'',8' 10'',229.6,6' 11''
Martin Iti,C-PF,10.50%,-,-,6' 8.5'',6' 9.75'',9' 3.5'',233.0,7' 5''
Martynas Andriuskevicius,C-PF,-%,-,-,7' 1.25'',7' 3'',9' 4.5'',227.8,6' 11.25''
Marvin Williams,PF-SF,-%,-,-,6' 7'',6' 8.25'',9' 0'',228.2,7' 3.5''
Mason Plumlee,C-PF,6.15%,9.75,9.50,6' 11.25'',7' 0.5'',9' 0'',238.2,6' 11''
Matt Freije,SF-PF,10.80%,-,-,6' 8.25'',6' 9.5'',9' 0.5'',234.0,7' 1''
Matt Haryasz,PF-C,9.80%,-,-,6' 9.75'',6' 11'',8' 11.5'',219.0,7' 0.25''
Maurice Ager,SG-PG,8.00%,-,-,6' 3.25'',6' 4.5'',8' 5.5'',203.0,6' 7.75''
Maurice Harkless,SF,5.30%,9.25,10.25,6' 7.25'',6' 8.75'',8' 6.5'',206.6,7' 0''
Melo Trimble,PG,10.60%,8.00,8.75,6' 1.25'',6' 2.5'',7' 11.5'',195.2,6' 2''
Melo Trimble,PG,8.35%,8.00,8.75,6' 1.25'',6' 2.5'',7' 8.5'',191.8,6' 2''
Melvin Ejim,SF,6.45%,8.75,9.25,6' 5.25'',6' 7'',8' 7.5'',218.5,6' 11.25''
Melvin Frazier,SF-SG,7.90%,9.50,9.50,6' 4.5'',6' 6'',8' 9'',198.2,7' 1.75''
Meyers Leonard,C,5.70%,9.25,11.00,6' 11.75'',7' 1.25'',9' 0'',249.8,7' 3''
Mfiondu Kabengele,PF,5.10%,9.25,10.75,6' 8.75'',6' 10.25'',9' 1.5'',256.2,7' 3''
Michael Beasley,PF-SF,7.70%,-,-,6' 7'',6' 8.25'',8' 11'',239.0,7' 0.25''
Michael Carter-Williams,PG,4.40%,7.50,8.50,6' 4.75'',6' 5.75'',8' 5'',184.4,6' 7.25''
Michael Dunigan,PF-C,8.00%,9.00,10.75,6' 8.5'',6' 10'',8' 11.5'',237.6,7' 3.25''
Michael Frazier II,SG,7.40%,8.25,9.25,6' 3.75'',6' 4.25'',8' 5.5'',199.4,6' 8''
Michael Gbinije,SG,5.40%,8.00,9.00,6' 5.5'',6' 6.75'',8' 5'',204.6,6' 7.5''
Michael Kidd-Gilchrist,SF,7.00%,9.00,10.25,6' 5.75'',6' 7.5'',8' 8.5'',232.8,7' 0''
Michael Porter,SF-PF,6.40%,8.75,9.25,6' 9.5'',6' 10.75'',9' 0.5'',211.0,7' 0.25''
Michael Qualls,SG-SF,4.00%,9.00,10.25,6' 4'',6' 5'',8' 8.5'',201.4,7' 0.25''
Michael Southhall,C,7.90%,-,-,6' 9.5'',6' 10.25'',8' 11.5'',241.0,7' 4.25''
Michel Morandais,SG-SF,8.60%,-,-,6' 3.75'',6' 4.75'',8' 6'',205.0,6' 11.5''
Mike Bell,SF-PF,-%,-,-,6' 8.75'',6' 9.25'',8' 8.5'',206.2,7' 1.5''
Mike Conley,PG,4.20%,-,-,5' 11'',6' 0.75'',7' 10.5'',175.0,6' 5.75''
Mike Muscala,C-PF,6.80%,8.50,9.00,6' 10.25'',6' 11.5'',9' 0'',230.2,7' 1''
Mike Scott,PF,10.60%,8.50,9.00,6' 7.25'',6' 8.75'',8' 8'',240.8,6' 10.75''
Mike Taylor,SG-PG,3.80%,-,-,6' 0.75'',6' 2'',8' 2'',166.2,6' 7.25''
Mike Williams,SF,9.30%,-,-,6' 5.5'',6' 6.5'',8' 9.5'',197.0,6' 11.5''
Mikhail Torrance,PG,7.00%,8.75,9.50,6' 4'',6' 5'',8' 7'',208.8,6' 7.5''
Miles Bridges,SF,5.90%,9.00,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5''
Miles Plumlee,PF-C,11.40%,9.25,9.00,6' 10.5'',6' 11.75'',8' 9.5'',252.4,7' 0.75''
Mindaugas Katelynas,SF-PF,-%,-,-,6' 7.5'',6' 8.5'',8' 9.5'',217.0,6' 11''
Misan Nikagbatse,SG-PG,12.90%,-,-,6' 3.5'',6' 4.75'',8' 6'',223.0,6' 10''
Miye Oni,SG,4.90%,9.00,10.00,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75''
Mohamed Abukar,SF,8.90%,-,-,6' 8'',6' 9.75'',8' 7'',210.0,6' 9''
Mohamed Bamba,C,6.20%,9.75,10.25,6' 11.25'',7' 0.75'',9' 7.5'',225.6,7' 10''
Monta Ellis,SG-PG,-%,-,-,6' 2.25'',6' 3.25'',8' 2'',176.6,6' 2.75''
Monte Morris,PG,6.90%,8.25,8.75,6' 1.25'',6' 2.5'',8' 0.5'',175.2,6' 4''
Montrezl Harrell,PF,11.90%,9.00,9.75,6' 7'',6' 7.5'',9' 1'',253.4,7' 4.25''
Moritz Wagner,C-PF,6.75%,9.00,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0''
Moritz Wagner,PF,6.70%,8.75,10.75,6' 10'',6' 11.25'',9' 0'',231.2,7' 0''
Morris Almond,SG-SF,6.90%,-,-,6' 4.75'',6' 6'',8' 6.5'',214.0,6' 10''
Moses Brown,C,7.80%,9.50,10.25,7' 1.25'',7' 2.5'',9' 5'',237.2,7' 4.75''
Mouhamed Sene,C,6.60%,-,-,6' 11'',7' 0'',9' 5'',237.0,7' 8.5''
Mustafa Shakur,PG,4.10%,-,-,6' 3'',6' 4.5'',8' 3'',185.0,6' 5.5''
Myck Kabongo,PG,6.00%,8.25,9.00,6' 1.25'',6' 2.75'',8' 2'',180.4,6' 6.25''
Myles Turner,C-PF,9.30%,9.25,9.25,6' 9.75'',6' 11.5'',9' 4'',238.6,7' 4''
Nassir Little,SF,5.90%,8.75,10.00,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25''
Nate Robinson,PG,6.70%,-,-,5' 7.75'',5' 9'',7' 7.5'',181.0,6' 1''
Nate Williams,PF-SF,12.40%,-,-,6' 8.5'',6' 10'',9' 1.5'',240.0,7' 1.5''
Nate Wolters,PG,5.50%,8.25,8.75,6' 3.5'',6' 4.75'',8' 2'',196.4,6' 3.75''
Naz Reid,PF,14.00%,9.50,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25''
Neemias Queta,C,6.30%,9.50,11.00,6' 10.75'',7' 0.25'',9' 3.5'',225.8,7' 4.25''
